,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,RCB,OPM,se,AB_P,FC_P,entao,por,fimse,repita,fimrepita,fim,OPR,EOF
68,,,,,74,,,,,,,,,,,,,,,e1/et23,e1/et23,e1/et23,e1/et23,S50,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23,e1/et23
69,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,R19,e1,e1,e1,e1,R19,R19,e1,e1,e1,e1,R19,e1,e1,e1,e1,R19,R19,R19,R19,e1,e1
70,,,,,,,,,,,,75,,,,,,,,et7,et7,et7,et7,S55,et7,et7,et7,et7,et7,et7,et7,S56,et7,et7,et7,et7,et7,et7,et7,et7,et7,et7,et7,et7,et7
71,,,,,,,,,,,,,,,,,,,,et10,et10,et10,et10,et10,et10,et10,et10,et10,et10,et10,et10,et10,et10,et10,et10,et10,et10,S76,et10,et10,et10,et10,et10,et10,et10
72,,,,,,,,,,,,77,,,,,,,,et12,et12,et12,et12,S55,et12,et12,et12,et12,et12,et12,et12,S56,et12,et12,et12,et12,et12,et12,et12,et12,et12,et12,et12,et12,et12
73,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,R34,e1,e1,e1,e1,R34,R34,e1,e1,e1,e1,R34,e1,e1,e1,e1,e1,e1,R34,e1,e1,e1
74,,,,,,,,,,,,,,,,,,,,e1,e1,e1,R7,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1
75,,,,,,,,,,,,,,,,,,,,e1/et3,e1/et3,e1/et3,R20,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3,e1/et3
76,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,R26,e1,e1,e1,e1,R26,R26,e1,e1,e1,e1,R26,e1,e1,e1,e1,R26,e1,e1,e1,e1,e1
77,,,,,,,,,,,,,,,,,,,,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,R27,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9,e1/et9
